Pager usage is off.
Output format is csv.
BEGIN
database_name,db_user,postgres_version,export_timestamp,transaction_read_only
tecdex_saas,postgres,"PostgreSQL 16.15 (Ubuntu 16.15-0ubuntu0.24.04.1) on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit",2026-09-08 11:33:24.082996+00,on
DBN05_EXPORT_SECTION standards
standard_code,display_name,family,description,is_active,created_at,updated_at
ISO27001,ISO/IEC 27001 Information security management,information_security,"Sistema de gestion de seguridad de la informacion basado en riesgos, activos, controles y tratamiento.",t,2026-05-06 18:00:36.670084+00,2026-06-09 18:36:43.622399+00
ISO42001,ISO/IEC 42001 Artificial intelligence management,ai_management,"Sistema de gestion para gobernanza, riesgos, supervision, transparencia y operacion responsable de sistemas de IA.",t,2026-05-06 18:00:36.670084+00,2026-05-06 18:00:36.670084+00
ISO9001,ISO 9001 Quality management,quality_management,"Sistema de gestion de calidad para procesos, cliente, proveedores, no conformidades y mejora.",t,2026-05-06 18:00:36.670084+00,2026-06-09 18:36:43.622399+00
DBN05_EXPORT_SECTION standard_versions
standard_version_id,standard_code,version_code,display_name,publication_status,certifiable,replaces_version,effective_from,transition_until,source_policy,notes,is_active
e97cee1b-e6a4-455e-b365-d84c84922aba,ISO27001,2022,ISO/IEC 27001:2022,published,t,,2022-10-25,,copyright_safe_summary,Version certificable vigente para SGSI.,t
fdf7c96d-6beb-4e63-b963-5905bf7b7850,ISO42001,2023,ISO/IEC 42001:2023,published,t,,2023-12-18,,copyright_safe_summary,Version usada por el producto para gestion responsable de sistemas de IA.,t
c863eac0-86f7-478c-860d-56c04fe4b524,ISO9001,2015,ISO 9001:2015,published,t,,2015-09-15,,copyright_safe_summary,Version certificable vigente para gestion de calidad en esta fase.,t
011fd602-7b95-4152-ad39-4172e3363e43,ISO9001,2026_FDIS,ISO 9001:2026 FDIS - preparacion de transicion,transition_prep,f,2015,,,copyright_safe_summary,Version FDIS/draft para preparacion. No reemplaza ISO 9001:2015 ni habilita certificacion final.,t
DBN05_EXPORT_SECTION controls_catalog
qa_control_id,qa_standard_code,clause,category,description,source_type,is_active,base_control_id,created_at,updated_at
1d4fe8ec-edc5-49be-9a90-b44eff8744c8,ISO27001,1,Cláusula 1: Alcance  :,Define el alcance del sistema de gestión de seguridad de la información,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
3cc182db-77f1-42cb-abf5-bff7389d0c23,ISO27001,1,Cláusula 1: Alcance  :,Acciones correctivas,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
ecd01ba2-6eff-42ca-8763-66db394a3c98,ISO27001,1,Cláusula 1: Alcance  :,Mejora continua,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
f171ebed-c5e5-4e75-ae33-b99ca46854bf,ISO27001,1,Cláusula 1: Alcance  :,Gestión de incidentes,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
dcf93152-ef9a-4e1f-915c-173b2ead81e2,ISO27001,2,Cláusula 2: Referencias  :,Referencias normativas ISO/IEC,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
ee704963-a4fc-4019-a980-3d783ff45c1e,ISO27001,3,Cláusula 3: Términos  :,Términos y definiciones ISO,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
b561b55f-18b0-41a7-bec8-13dd089977af,ISO27001,4,Cláusula 4: Contexto  :,Se identifican interfaces con terceros,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
ce2a2990-1397-4237-b1d9-ad4a44daa635,ISO27001,4,Cláusula 4: Contexto  :,Se definen requisitos de seguridad,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
cf5ac1f4-1046-4aa5-9520-ec0bcd2aafbf,ISO27001,4,Cláusula 4: Contexto  :,Se identifican partes interesadas,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
db8f68e8-b2ad-4a4b-91e5-e6bfee706ee1,ISO27001,4,Cláusula 4: Contexto  :,Se determina el alcance del SGSI,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
