role,permission,route,action,endpoint,method,resource,dataScope,allowed,conditions,featureCapability,auditEvent,positiveTest,negativeTest,crossTenantTest,sourceFile,authSignal,roleSignal,tenantSignal
,,,POST /upload,/upload,POST,2evidences.routes,tenant-signal,,,,,,,,backend/src/routes/_legacy/2evidences.routes.js,true,false,true
,,,PUT /validate/:id,/validate/:id,PUT,2evidences.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/_legacy/2evidences.routes.js,true,false,true
,,,PUT /approve/:id,/approve/:id,PUT,2evidences.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/_legacy/2evidences.routes.js,true,false,true
,,,GET /:tenant_id,/:tenant_id,GET,2evidences.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/_legacy/2evidences.routes.js,true,false,true
,,,GET /:id/updates,/:id/updates,GET,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,POST /:id/updates,/:id/updates,POST,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,POST /:id/request-approval,/:id/request-approval,POST,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,POST /:id/review-approval,/:id/review-approval,POST,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,POST /:id/ai-review,/:id/ai-review,POST,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,GET /:tenant_id,/:tenant_id,GET,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,POST /,/,POST,action-plans.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,PUT /:id,/:id,PUT,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,DELETE /:id,/:id,DELETE,action-plans.routes,tenant-signal,,,,,,,,backend/src/routes/action-plans.routes.js,true,false,true
,,,GET /overview,/overview,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,false,true
,,,GET /dealer/tenants,/dealer/tenants,GET,admin-saas.routes,tenant-signal,,,,,,,,backend/src/routes/admin-saas.routes.js,true,true,true
