capacidad,ruta,componente,accion,metodoHTTP,endpoint,validador,servicio,tablaEntidad,permiso,rol,tenantScope,eventoAuditoria,featureFlag,pruebaUnitaria,pruebaIntegracion,pruebaE2E,estado,evidencia
acciones_recomendadas,/acciones-recomendadas,frontend/src/app/acciones-recomendadas/page.tsx,view/action,POST,/api/ai-compliance/answer,,,,,,true,,,pending,pending,pending,productive,artifacts/fase-0/baseline/stack-inventory.txt;frontend/tests/e2e/phase0-critical.spec.ts;authorized-route:/acciones-recomendadas
activos,/activos,frontend/src/app/activos/page.tsx,view/action,GET,/api/action-plans/:id/updates,,,,,,true,,,pending,pending,pending,productive,artifacts/fase-0/baseline/stack-inventory.txt;frontend/tests/e2e/phase0-critical.spec.ts;authorized-route:/activos
admin_saas,/admin-saas,frontend/src/app/admin-saas/page.tsx,view/action,GET,/api/admin-saas/overview,,,,,,true,,,pending,pending,pending,productive,artifacts/fase-0/baseline/stack-inventory.txt;frontend/tests/e2e/phase0-critical.spec.ts;authorized-route:/admin-saas
administrar_kpis,/administrar-kpis,frontend/src/app/administrar-kpis/page.tsx,view/action,GET,/api/company-profile,,,,,,true,,,pending,pending,pending,productive,artifacts/fase-0/baseline/stack-inventory.txt;frontend/tests/e2e/phase0-critical.spec.ts;authorized-route:/administrar-kpis
auditorias.ejecucion,/auditorias/ejecucion,frontend/src/app/auditorias/ejecucion/page.tsx,view/action,GET,/api/audit-execution/:audit_id/checklist,,,,,,true,,,pending,pending,pending,productive,artifacts/fase-0/baseline/stack-inventory.txt;frontend/tests/e2e/phase0-critical.spec.ts;authorized-route:/auditorias/ejecucion
auditorias.ia,/auditorias/ia,frontend/src/app/auditorias/ia/page.tsx,view/action,GET,/api/ai-auditor/history,,,,,,true,,,pending,pending,pending,productive,artifacts/fase-0/baseline/stack-inventory.txt;frontend/tests/e2e/phase0-critical.spec.ts;authorized-route:/auditorias/ia
auditorias,/auditorias,frontend/src/app/auditorias/page.tsx,view/action,GET,/api/action-plans/:id/updates,,,,,,true,,,pending,pending,pending,productive,artifacts/fase-0/baseline/stack-inventory.txt;frontend/tests/e2e/phase0-critical.spec.ts;authorized-route:/auditorias
ciclo_vida,/ciclo-vida,frontend/src/app/ciclo-vida/page.tsx,view/action,GET,/health/summary,,,,,,true,,,pending,pending,pending,productive,artifacts/fase-0/baseline/stack-inventory.txt;frontend/tests/e2e/phase0-critical.spec.ts;authorized-route:/ciclo-vida
configuracion,/configuracion,frontend/src/app/configuracion/page.tsx,view/action,GET,/health/summary,,,,,,true,,,pending,pending,pending,productive,artifacts/fase-0/baseline/stack-inventory.txt;frontend/tests/e2e/phase0-critical.spec.ts;authorized-route:/configuracion
controles,/controles,frontend/src/app/controles/page.tsx,view/action,GET,/api/company-profile,,,,,,true,,,pending,pending,pending,productive,artifacts/fase-0/baseline/stack-inventory.txt;frontend/tests/e2e/phase0-critical.spec.ts;authorized-route:/controles
