role_key,permission_key,is_allowed,permission_group,permission_is_active
admin,action.manage,t,grc,t
admin,actions.approve,t,actions,t
admin,actions.manage,t,actions,t
admin,actions.view,t,actions,t
admin,assets.manage,t,assets,t
admin,assets.view,t,assets,t
admin,assurance_tests.execute,t,assurance,t
admin,assurance_tests.manage,t,assurance,t
admin,assurance_tests.read,t,assurance,t
admin,assurance_tests.review,t,assurance,t
admin,audit.execute,t,grc,t
admin,audit.plan.manage,t,audit,t
admin,audit.plan.read,t,audit,t
admin,audit.report.generate,t,audit,t
admin,audit.review,t,audit,t
admin,audit.workpaper.manage,t,audit,t
admin,auditlog.view,t,auditlog,t
admin,audits.manage,t,audits,t
admin,audits.view,t,audits,t
admin,bia.approve,t,continuity,t
admin,bia.manage,t,continuity,t
admin,bia.read,t,continuity,t
admin,commercial.entitlement.read,t,commercial,t
admin,commercial.health.read,t,commercial,t
admin,commercial.methodology.read,t,commercial,t
admin,commercial.pack.read,t,commercial,t
admin,commercial.subscription.read,t,commercial,t
admin,commercial.usage.read,t,commercial,t
admin,commercial.workpaper.read,t,commercial,t
admin,connectors.credentials.manage,t,connectors,t
admin,connectors.logs.read,t,connectors,t
admin,connectors.manage,t,connectors,t
admin,connectors.read,t,connectors,t
admin,connectors.sync.run,t,connectors,t
admin,continuity.activate,t,continuity,t
admin,continuity.approve,t,continuity,t
admin,continuity.manage,t,continuity,t
admin,continuity.read,t,continuity,t
admin,continuity.tests.manage,t,continuity,t
admin,control.manage,t,grc,t
admin,controls.manage,t,controls,t
admin,controls.view,t,controls,t
admin,crisis.manage,t,continuity,t
admin,crisis.read,t,continuity,t
admin,dashboards.manage,t,bi,t
admin,dashboards.publish,t,bi,t
admin,dashboards.read,t,bi,t
admin,data.catalog.manage,t,data,t
admin,data.catalog.read,t,data,t
admin,data.lineage.manage,t,data,t
admin,data.lineage.read,t,data,t
admin,data.quality.manage,t,data,t
admin,data.quality.read,t,data,t
admin,evidence.request.manage,t,evidence,t
admin,evidence.request.read,t,evidence,t
admin,evidence.review,t,grc,t
admin,evidences.review,t,evidences,t
admin,evidences.upload,t,evidences,t
admin,evidences.view,t,evidences,t
admin,framework.manage,t,grc,t
admin,framework.read,t,framework,t
admin,gap.evaluate,t,gap,t
admin,gap.manage,t,gap,t
admin,gap.read,t,gap,t
admin,gap.transition,t,gap,t
admin,grc.escalation.manage,t,workflow,t
admin,grc.export.generate,t,audit,t
admin,grc.phase2.export,t,reporting,t
admin,grc.scheduler.run,t,workflow,t
admin,health.refresh,t,health,t
admin,health.view,t,health,t
admin,incidents.close,t,incidents,t
admin,incidents.command,t,incidents,t
admin,incidents.manage,t,incidents,t
admin,incidents.notifications.manage,t,incidents,t
admin,incidents.read,t,incidents,t
admin,loss_events.approve,t,loss,t
admin,loss_events.manage,t,loss,t
admin,loss_events.read,t,loss,t
admin,metrics.approve,t,metrics,t
admin,metrics.manage,t,metrics,t
admin,metrics.measure,t,metrics,t
admin,metrics.publish,t,metrics,t
admin,metrics.read,t,metrics,t
admin,metrics.recalculate,t,metrics,t
admin,metrics.record,t,metrics,t
admin,metrics.validate,t,metrics,t
admin,modules.view,t,modules,t
admin,nonconformities.manage,t,nonconformities,t
admin,nonconformities.view,t,nonconformities,t
admin,operations.360.read,t,operations,t
admin,operations.dashboard.read,t,operations,t
admin,operations.import,t,operations,t
admin,organizations.manage,t,operations,t
admin,organizations.read,t,operations,t
admin,privacy.approve,t,privacy,t
admin,privacy.breaches.manage,t,privacy,t
admin,privacy.dpia.manage,t,privacy,t
admin,privacy.manage,t,privacy,t
admin,privacy.read,t,privacy,t
admin,privacy.requests.manage,t,privacy,t
admin,processes.approve,t,operations,t
admin,processes.manage,t,operations,t
admin,processes.read,t,operations,t
admin,quantitative_risk.approve,t,risk,t
admin,quantitative_risk.manage,t,risk,t
admin,quantitative_risk.read,t,risk,t
admin,readiness.generate,t,readiness,t
admin,readiness.read,t,readiness,t
admin,reports.approve,t,reports,t
admin,reports.download,t,reports,t
admin,reports.export,t,reports,t
admin,reports.generate,t,reports,t
admin,reports.manage,t,reports,t
admin,reports.read,t,reports,t
admin,reports.schedule,t,reports,t
admin,reports.view,t,reports,t
admin,risk.manage,t,grc,t
admin,risk_matrix.manage,t,risk_matrix,t
admin,risk_matrix.view,t,risk_matrix,t
admin,semantic.contracts.manage,t,semantic,t
admin,semantic.contracts.publish,t,semantic,t
admin,semantic.contracts.read,t,semantic,t
admin,semantic.contracts.review,t,semantic,t
admin,semantic.lineage.read,t,semantic,t
admin,semantic.mappings.manage,t,semantic,t
admin,semantic.mappings.read,t,semantic,t
admin,semantic.mappings.validate,t,semantic,t
admin,semantic.observations.ingest,t,semantic,t
admin,semantic.observations.read,t,semantic,t
admin,semantic.sufficiency.manage,t,semantic,t
admin,semantic.sufficiency.publish,t,semantic,t
admin,semantic.sufficiency.read,t,semantic,t
admin,services.manage,t,operations,t
admin,services.read,t,operations,t
admin,standards.view,t,standards,t
admin,suppliers.approve,t,suppliers,t
admin,suppliers.assess,t,suppliers,t
admin,suppliers.manage,t,suppliers,t
admin,suppliers.portal.manage,t,suppliers,t
admin,suppliers.read,t,suppliers,t
admin,surveys.approve,t,surveys,t
admin,surveys.evaluate,t,surveys,t
admin,surveys.manage,t,surveys,t
admin,surveys.publish,t,surveys,t
admin,surveys.read,t,surveys,t
admin,surveys.respond,t,surveys,t
admin,tenant.manage,t,tenant,t
admin,users.manage,t,users,t
admin,users.view,t,users,t
admin,workflow.manage,t,workflow,t
admin,workflow.read,t,workflow,t
admin,workflow.transition,t,workflow,t
auditor,actions.approve,t,actions,t
auditor,actions.view,t,actions,t
auditor,assurance_tests.execute,t,assurance,t
auditor,assurance_tests.read,t,assurance,t
auditor,audit.execute,t,grc,t
auditor,audit.plan.read,t,audit,t
auditor,audit.report.generate,t,audit,t
auditor,audit.review,t,audit,t
auditor,audit.workpaper.manage,t,audit,t
auditor,auditlog.view,t,auditlog,t
auditor,audits.review,t,audits,t
auditor,audits.view,t,audits,t
auditor,bia.read,t,continuity,t
auditor,connectors.logs.read,t,connectors,t
auditor,connectors.read,t,connectors,t
auditor,continuity.read,t,continuity,t
auditor,controls.view,t,controls,t
auditor,crisis.read,t,continuity,t
auditor,dashboards.read,t,bi,t
auditor,data.catalog.read,t,data,t
auditor,data.lineage.read,t,data,t
auditor,data.quality.read,t,data,t
auditor,evidence.request.read,t,evidence,t
auditor,evidence.review,t,grc,t
auditor,evidences.review,t,evidences,t
auditor,evidences.view,t,evidences,t
auditor,framework.manage,t,grc,t
auditor,framework.read,t,framework,t
auditor,gap.evaluate,t,gap,t
auditor,gap.read,t,gap,t
auditor,gap.transition,t,gap,t
auditor,grc.export.generate,t,audit,t
auditor,grc.phase2.export,t,reporting,t
auditor,health.view,t,health,t
auditor,incidents.manage,t,incidents,t
auditor,incidents.read,t,incidents,t
auditor,loss_events.read,t,loss,t
auditor,metrics.measure,t,metrics,t
auditor,metrics.read,t,metrics,t
auditor,modules.view,t,modules,t
auditor,nonconformities.review,t,nonconformities,t
auditor,nonconformities.view,t,nonconformities,t
auditor,operations.360.read,t,operations,t
auditor,operations.dashboard.read,t,operations,t
auditor,organizations.read,t,operations,t
auditor,privacy.dpia.manage,t,privacy,t
auditor,privacy.read,t,privacy,t
auditor,processes.read,t,operations,t
auditor,quantitative_risk.read,t,risk,t
auditor,readiness.generate,t,readiness,t
auditor,readiness.read,t,readiness,t
auditor,reports.download,t,reports,t
auditor,reports.export,t,reports,t
auditor,reports.generate,t,reports,t
auditor,reports.read,t,reports,t
auditor,reports.view,t,reports,t
auditor,risk_matrix.view,t,risk_matrix,t
auditor,semantic.contracts.read,t,semantic,t
auditor,semantic.lineage.read,t,semantic,t
auditor,semantic.mappings.read,t,semantic,t
auditor,semantic.observations.read,t,semantic,t
auditor,semantic.sufficiency.read,t,semantic,t
auditor,services.read,t,operations,t
auditor,standards.view,t,standards,t
auditor,suppliers.assess,t,suppliers,t
auditor,suppliers.read,t,suppliers,t
auditor,surveys.read,t,surveys,t
auditor,surveys.respond,t,surveys,t
auditor,workflow.read,t,workflow,t
auditor,workflow.transition,t,workflow,t
compliance_manager,actions.approve,t,actions,t
compliance_manager,actions.manage,t,actions,t
compliance_manager,actions.view,t,actions,t
compliance_manager,assets.manage,t,assets,t
compliance_manager,assets.view,t,assets,t
compliance_manager,auditlog.view,t,auditlog,t
compliance_manager,audits.manage,t,audits,t
compliance_manager,audits.view,t,audits,t
compliance_manager,controls.manage,t,controls,t
compliance_manager,controls.view,t,controls,t
compliance_manager,evidences.review,t,evidences,t
compliance_manager,evidences.upload,t,evidences,t
compliance_manager,evidences.view,t,evidences,t
compliance_manager,health.refresh,t,health,t
compliance_manager,health.view,t,health,t
compliance_manager,modules.view,t,modules,t
compliance_manager,nonconformities.manage,t,nonconformities,t
compliance_manager,nonconformities.view,t,nonconformities,t
compliance_manager,reports.export,t,reports,t
compliance_manager,reports.view,t,reports,t
compliance_manager,risk_matrix.manage,t,risk_matrix,t
compliance_manager,risk_matrix.view,t,risk_matrix,t
compliance_manager,standards.view,t,standards,t
control_owner,actions.manage,t,actions,t
control_owner,actions.view,t,actions,t
control_owner,controls.view,t,controls,t
control_owner,evidences.upload,t,evidences,t
control_owner,evidences.view,t,evidences,t
control_owner,health.view,t,health,t
control_owner,nonconformities.view,t,nonconformities,t
control_owner,reports.view,t,reports,t
control_owner,risk_matrix.view,t,risk_matrix,t
dealer,dealer.clients.view,t,dealer,t
dealer,dealer.requests.create,t,dealer,t
dealer,health.view,t,health,t
dealer,modules.view,t,modules,t
dealer,reports.view,t,reports,t
dealer,standards.view,t,standards,t
dealer,tenants.view,t,tenants,t
platform_admin,actions.approve,t,actions,t
platform_admin,actions.delete,t,actions,t
platform_admin,actions.manage,t,actions,t
platform_admin,actions.view,t,actions,t
platform_admin,admin_saas.manage,t,admin_saas,t
platform_admin,admin_saas.view,t,admin_saas,t
platform_admin,ai.use,t,ai,t
platform_admin,ai.view,t,ai,t
platform_admin,assets.manage,t,assets,t
platform_admin,assets.view,t,assets,t
platform_admin,auditlog.view,t,auditlog,t
platform_admin,audits.manage,t,audits,t
platform_admin,audits.review,t,audits,t
platform_admin,audits.view,t,audits,t
platform_admin,commercial.catalog.manage,t,commercial,t
platform_admin,commercial.catalog.read,t,commercial,t
platform_admin,commercial.entitlement.override,t,commercial,t
platform_admin,commercial.entitlement.read,t,commercial,t
platform_admin,commercial.health.read,t,commercial,t
platform_admin,commercial.methodology.manage,t,commercial,t
platform_admin,commercial.methodology.read,t,commercial,t
platform_admin,commercial.pack.install,t,commercial,t
platform_admin,commercial.pack.manage,t,commercial,t
platform_admin,commercial.pack.read,t,commercial,t
platform_admin,commercial.plan.manage,t,commercial,t
platform_admin,commercial.plan.read,t,commercial,t
platform_admin,commercial.subscription.manage,t,commercial,t
platform_admin,commercial.subscription.read,t,commercial,t
platform_admin,commercial.trial.manage,t,commercial,t
platform_admin,commercial.usage.read,t,commercial,t
platform_admin,commercial.workpaper.manage,t,commercial,t
platform_admin,commercial.workpaper.read,t,commercial,t
platform_admin,controls.manage,t,controls,t
platform_admin,controls.view,t,controls,t
platform_admin,dealer.clients.manage,t,dealer,t
platform_admin,dealer.clients.view,t,dealer,t
platform_admin,dealer.requests.create,t,dealer,t
platform_admin,evidences.delete,t,evidences,t
platform_admin,evidences.review,t,evidences,t
platform_admin,evidences.upload,t,evidences,t
platform_admin,evidences.view,t,evidences,t
platform_admin,health.refresh,t,health,t
platform_admin,health.view,t,health,t
platform_admin,modules.manage,t,modules,t
platform_admin,modules.view,t,modules,t
platform_admin,nonconformities.manage,t,nonconformities,t
platform_admin,nonconformities.review,t,nonconformities,t
platform_admin,nonconformities.view,t,nonconformities,t
platform_admin,reports.export,t,reports,t
platform_admin,reports.view,t,reports,t
platform_admin,risk_matrix.manage,t,risk_matrix,t
platform_admin,risk_matrix.view,t,risk_matrix,t
platform_admin,settings.view,t,settings,t
platform_admin,standards.initialize,t,standards,t
platform_admin,standards.manage,t,standards,t
platform_admin,standards.view,t,standards,t
platform_admin,tenants.create,t,tenants,t
platform_admin,tenants.manage,t,tenants,t
platform_admin,tenants.suspend,t,tenants,t
platform_admin,tenants.update,t,tenants,t
platform_admin,tenants.view,t,tenants,t
platform_admin,users.assign_roles,t,users,t
platform_admin,users.manage,t,users,t
platform_admin,users.view,t,users,t
superadmin,actions.approve,t,actions,t
superadmin,actions.delete,t,actions,t
superadmin,actions.manage,t,actions,t
superadmin,actions.view,t,actions,t
superadmin,admin_saas.manage,t,admin_saas,t
superadmin,admin_saas.view,t,admin_saas,t
superadmin,ai.use,t,ai,t
superadmin,ai.view,t,ai,t
superadmin,assets.manage,t,assets,t
superadmin,assets.view,t,assets,t
superadmin,auditlog.view,t,auditlog,t
superadmin,audits.manage,t,audits,t
superadmin,audits.review,t,audits,t
superadmin,audits.view,t,audits,t
superadmin,commercial.catalog.manage,t,commercial,t
superadmin,commercial.catalog.read,t,commercial,t
superadmin,commercial.entitlement.override,t,commercial,t
superadmin,commercial.entitlement.read,t,commercial,t
superadmin,commercial.health.read,t,commercial,t
superadmin,commercial.methodology.manage,t,commercial,t
superadmin,commercial.methodology.read,t,commercial,t
superadmin,commercial.pack.install,t,commercial,t
superadmin,commercial.pack.manage,t,commercial,t
superadmin,commercial.pack.read,t,commercial,t
superadmin,commercial.plan.manage,t,commercial,t
superadmin,commercial.plan.read,t,commercial,t
superadmin,commercial.subscription.manage,t,commercial,t
superadmin,commercial.subscription.read,t,commercial,t
superadmin,commercial.trial.manage,t,commercial,t
superadmin,commercial.usage.read,t,commercial,t
superadmin,commercial.workpaper.manage,t,commercial,t
superadmin,commercial.workpaper.read,t,commercial,t
superadmin,controls.manage,t,controls,t
superadmin,controls.view,t,controls,t
superadmin,dealer.clients.manage,t,dealer,t
superadmin,dealer.clients.view,t,dealer,t
superadmin,dealer.requests.create,t,dealer,t
superadmin,evidences.delete,t,evidences,t
superadmin,evidences.review,t,evidences,t
superadmin,evidences.upload,t,evidences,t
superadmin,evidences.view,t,evidences,t
superadmin,health.refresh,t,health,t
superadmin,health.view,t,health,t
superadmin,modules.manage,t,modules,t
superadmin,modules.view,t,modules,t
superadmin,nonconformities.manage,t,nonconformities,t
superadmin,nonconformities.review,t,nonconformities,t
superadmin,nonconformities.view,t,nonconformities,t
superadmin,reports.export,t,reports,t
superadmin,reports.view,t,reports,t
superadmin,risk_matrix.manage,t,risk_matrix,t
superadmin,risk_matrix.view,t,risk_matrix,t
superadmin,settings.manage,t,settings,t
superadmin,settings.view,t,settings,t
superadmin,standards.initialize,t,standards,t
superadmin,standards.manage,t,standards,t
superadmin,standards.view,t,standards,t
superadmin,tenants.create,t,tenants,t
superadmin,tenants.manage,t,tenants,t
superadmin,tenants.suspend,t,tenants,t
superadmin,tenants.update,t,tenants,t
superadmin,tenants.view,t,tenants,t
superadmin,users.assign_roles,t,users,t
superadmin,users.manage,t,users,t
superadmin,users.view,t,users,t
tenant_admin,actions.approve,t,actions,t
tenant_admin,actions.manage,t,actions,t
tenant_admin,actions.view,t,actions,t
tenant_admin,assets.manage,t,assets,t
tenant_admin,assets.view,t,assets,t
tenant_admin,assurance_tests.execute,t,assurance,t
tenant_admin,assurance_tests.manage,t,assurance,t
tenant_admin,assurance_tests.read,t,assurance,t
tenant_admin,assurance_tests.review,t,assurance,t
tenant_admin,audit.plan.manage,t,audit,t
tenant_admin,audit.plan.read,t,audit,t
tenant_admin,audit.report.generate,t,audit,t
tenant_admin,audit.review,t,audit,t
tenant_admin,audit.workpaper.manage,t,audit,t
tenant_admin,auditlog.view,t,auditlog,t
tenant_admin,audits.manage,t,audits,t
tenant_admin,audits.view,t,audits,t
tenant_admin,bia.approve,t,continuity,t
tenant_admin,bia.manage,t,continuity,t
tenant_admin,bia.read,t,continuity,t
tenant_admin,commercial.entitlement.read,t,commercial,t
tenant_admin,commercial.health.read,t,commercial,t
tenant_admin,commercial.methodology.read,t,commercial,t
tenant_admin,commercial.pack.read,t,commercial,t
tenant_admin,commercial.subscription.read,t,commercial,t
tenant_admin,commercial.usage.read,t,commercial,t
tenant_admin,commercial.workpaper.read,t,commercial,t
tenant_admin,connectors.credentials.manage,t,connectors,t
tenant_admin,connectors.logs.read,t,connectors,t
tenant_admin,connectors.manage,t,connectors,t
tenant_admin,connectors.read,t,connectors,t
tenant_admin,connectors.sync.run,t,connectors,t
tenant_admin,continuity.activate,t,continuity,t
tenant_admin,continuity.approve,t,continuity,t
tenant_admin,continuity.manage,t,continuity,t
tenant_admin,continuity.read,t,continuity,t
tenant_admin,continuity.tests.manage,t,continuity,t
tenant_admin,controls.manage,t,controls,t
tenant_admin,controls.view,t,controls,t
tenant_admin,crisis.manage,t,continuity,t
tenant_admin,crisis.read,t,continuity,t
tenant_admin,dashboards.manage,t,bi,t
tenant_admin,dashboards.publish,t,bi,t
tenant_admin,dashboards.read,t,bi,t
tenant_admin,data.catalog.manage,t,data,t
tenant_admin,data.catalog.read,t,data,t
tenant_admin,data.lineage.manage,t,data,t
tenant_admin,data.lineage.read,t,data,t
tenant_admin,data.quality.manage,t,data,t
tenant_admin,data.quality.read,t,data,t
tenant_admin,evidence.request.manage,t,evidence,t
tenant_admin,evidence.request.read,t,evidence,t
tenant_admin,evidence.review,t,grc,t
tenant_admin,evidences.review,t,evidences,t
tenant_admin,evidences.upload,t,evidences,t
tenant_admin,evidences.view,t,evidences,t
tenant_admin,framework.manage,t,grc,t
tenant_admin,framework.read,t,framework,t
tenant_admin,gap.evaluate,t,gap,t
tenant_admin,gap.manage,t,gap,t
tenant_admin,gap.read,t,gap,t
tenant_admin,gap.transition,t,gap,t
tenant_admin,grc.escalation.manage,t,workflow,t
tenant_admin,grc.export.generate,t,audit,t
tenant_admin,grc.phase2.export,t,reporting,t
tenant_admin,grc.scheduler.run,t,workflow,t
tenant_admin,health.refresh,t,health,t
tenant_admin,health.view,t,health,t
tenant_admin,incidents.close,t,incidents,t
tenant_admin,incidents.command,t,incidents,t
tenant_admin,incidents.manage,t,incidents,t
tenant_admin,incidents.notifications.manage,t,incidents,t
tenant_admin,incidents.read,t,incidents,t
tenant_admin,loss_events.approve,t,loss,t
tenant_admin,loss_events.manage,t,loss,t
tenant_admin,loss_events.read,t,loss,t
tenant_admin,metrics.approve,t,metrics,t
tenant_admin,metrics.manage,t,metrics,t
tenant_admin,metrics.measure,t,metrics,t
tenant_admin,metrics.publish,t,metrics,t
