tenant_id,module_key,module_name,is_enabled,enabled_at,disabled_at
25314175-a727-4b69-8315-9021ff512cd5,health,Health ISO,t,,
25314175-a727-4b69-8315-9021ff512cd5,controls,Controles,t,,
25314175-a727-4b69-8315-9021ff512cd5,evidences,Evidencias,t,,
25314175-a727-4b69-8315-9021ff512cd5,action_plans,Plan de Acción,t,,
25314175-a727-4b69-8315-9021ff512cd5,grc_phase1_core,Nucleo GRC Fase 1,f,,
25314175-a727-4b69-8315-9021ff512cd5,grc_phase2_integrated,GRC integrado Fase 2,f,,
25314175-a727-4b69-8315-9021ff512cd5,grc_phase3_operations,Operación y continuidad GRC,f,,
25314175-a727-4b69-8315-9021ff512cd5,nonconformities,No Conformidades,t,,
25314175-a727-4b69-8315-9021ff512cd5,risk_matrix,Matriz de Riesgo,f,,2026-08-20 14:05:53.213179
25314175-a727-4b69-8315-9021ff512cd5,audits,Auditorías,t,,
25314175-a727-4b69-8315-9021ff512cd5,assets,Activos,f,,2026-08-20 14:05:46.541938
25314175-a727-4b69-8315-9021ff512cd5,reports,Reportes,t,,
25314175-a727-4b69-8315-9021ff512cd5,ai,IA,t,2026-08-20 13:59:23.764045,
25314175-a727-4b69-8315-9021ff512cd5,dealer_portal,Portal Dealer,f,,
25314175-a727-4b69-8315-9021ff512cd5,admin_saas,Administración SaaS,f,,
284dea3d-7f2c-411c-831c-1e8301608e91,health,Health ISO,t,2026-04-17 13:57:38.405707,
284dea3d-7f2c-411c-831c-1e8301608e91,controls,Controles,t,2026-04-17 13:57:38.405707,
284dea3d-7f2c-411c-831c-1e8301608e91,evidences,Evidencias,t,2026-04-17 13:57:38.405707,
284dea3d-7f2c-411c-831c-1e8301608e91,action_plans,Plan de Acción,t,2026-04-17 13:57:38.405707,
284dea3d-7f2c-411c-831c-1e8301608e91,grc_phase1_core,Nucleo GRC Fase 1,f,,
284dea3d-7f2c-411c-831c-1e8301608e91,grc_phase2_integrated,GRC integrado Fase 2,f,,
284dea3d-7f2c-411c-831c-1e8301608e91,grc_phase3_operations,Operación y continuidad GRC,f,,
284dea3d-7f2c-411c-831c-1e8301608e91,nonconformities,No Conformidades,t,2026-04-17 13:57:38.405707,
284dea3d-7f2c-411c-831c-1e8301608e91,risk_matrix,Matriz de Riesgo,t,2026-04-17 13:57:38.405707,
284dea3d-7f2c-411c-831c-1e8301608e91,audits,Auditorías,t,2026-04-17 13:57:38.405707,
