tenant_id,role_value,users_count
25314175-a727-4b69-8315-9021ff512cd5,admin,1
25314175-a727-4b69-8315-9021ff512cd5,auditor,1
25314175-a727-4b69-8315-9021ff512cd5,operativo,1
25314175-a727-4b69-8315-9021ff512cd5,viewer,1
284dea3d-7f2c-411c-831c-1e8301608e91,admin,2
284dea3d-7f2c-411c-831c-1e8301608e91,auditor,2
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,admin,3
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,auditor,1
444cb18c-831a-4964-b7d9-c1d302f73fc6,admin,1
444cb18c-831a-4964-b7d9-c1d302f73fc6,auditor,1
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,admin,1
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,auditor,1
4f8c5522-190c-4ace-bf59-1e7cc96003e7,admin,4
4f8c5522-190c-4ace-bf59-1e7cc96003e7,auditor,1
4f8c5522-190c-4ace-bf59-1e7cc96003e7,dealer,2
4f8c5522-190c-4ace-bf59-1e7cc96003e7,operativo,1
4f8c5522-190c-4ace-bf59-1e7cc96003e7,superadmin,1
4f8c5522-190c-4ace-bf59-1e7cc96003e7,viewer,1
697eefa4-3b56-4c8a-a7d4-6d512c40233e,admin,2
697eefa4-3b56-4c8a-a7d4-6d512c40233e,auditor,2
697eefa4-3b56-4c8a-a7d4-6d512c40233e,operativo,1
697eefa4-3b56-4c8a-a7d4-6d512c40233e,viewer,1
6bd63a82-c6af-425a-bed7-270ce09c60ae,admin,1
6bd63a82-c6af-425a-bed7-270ce09c60ae,auditor,1
6bd63a82-c6af-425a-bed7-270ce09c60ae,operativo,1
6bd63a82-c6af-425a-bed7-270ce09c60ae,viewer,1
70000000-0000-0000-0000-000000000701,admin,1
70000000-0000-0000-0000-000000000701,auditor,1
70000000-0000-0000-0000-000000000701,operativo,2
70000000-0000-0000-0000-000000000701,viewer,1
76c44a0e-6041-8bda-99c7-b740fccea001,admin,1
76c44a0e-6041-8bda-99c7-b740fccea001,auditor,1
8b161984-85b5-4632-a446-472a56fb3660,admin,1
abc8c711-b099-4dc9-b0cc-8546fcb4437b,admin,1
abc8c711-b099-4dc9-b0cc-8546fcb4437b,auditor,1
abc8c711-b099-4dc9-b0cc-8546fcb4437b,operativo,1
abc8c711-b099-4dc9-b0cc-8546fcb4437b,viewer,1
,dealer,1
,superadmin,1
