role_key,permission_key,permission_group,is_allowed,permission_active
admin,action.manage,grc,t,t
admin,actions.approve,actions,t,t
admin,actions.manage,actions,t,t
admin,actions.view,actions,t,t
admin,assets.manage,assets,t,t
admin,assets.view,assets,t,t
admin,assurance_tests.execute,assurance,t,t
admin,assurance_tests.manage,assurance,t,t
admin,assurance_tests.read,assurance,t,t
admin,assurance_tests.review,assurance,t,t
admin,audit.execute,grc,t,t
admin,audit.plan.manage,audit,t,t
admin,audit.plan.read,audit,t,t
admin,audit.report.generate,audit,t,t
admin,audit.review,audit,t,t
admin,audit.workpaper.manage,audit,t,t
admin,auditlog.view,auditlog,t,t
admin,audits.manage,audits,t,t
admin,audits.view,audits,t,t
admin,bia.approve,continuity,t,t
admin,bia.manage,continuity,t,t
admin,bia.read,continuity,t,t
admin,commercial.entitlement.read,commercial,t,t
admin,commercial.health.read,commercial,t,t
admin,commercial.methodology.read,commercial,t,t
admin,commercial.pack.read,commercial,t,t
admin,commercial.subscription.read,commercial,t,t
admin,commercial.usage.read,commercial,t,t
admin,commercial.workpaper.read,commercial,t,t
admin,connectors.credentials.manage,connectors,t,t
admin,connectors.logs.read,connectors,t,t
admin,connectors.manage,connectors,t,t
admin,connectors.read,connectors,t,t
admin,connectors.sync.run,connectors,t,t
admin,continuity.activate,continuity,t,t
admin,continuity.approve,continuity,t,t
admin,continuity.manage,continuity,t,t
admin,continuity.read,continuity,t,t
admin,continuity.tests.manage,continuity,t,t
admin,control.manage,grc,t,t
admin,controls.manage,controls,t,t
admin,controls.view,controls,t,t
admin,crisis.manage,continuity,t,t
admin,crisis.read,continuity,t,t
admin,dashboards.manage,bi,t,t
admin,dashboards.publish,bi,t,t
admin,dashboards.read,bi,t,t
admin,data.catalog.manage,data,t,t
admin,data.catalog.read,data,t,t
admin,data.lineage.manage,data,t,t
admin,data.lineage.read,data,t,t
admin,data.quality.manage,data,t,t
admin,data.quality.read,data,t,t
admin,evidence.request.manage,evidence,t,t
admin,evidence.request.read,evidence,t,t
admin,evidence.review,grc,t,t
admin,evidences.review,evidences,t,t
admin,evidences.upload,evidences,t,t
admin,evidences.view,evidences,t,t
admin,framework.manage,grc,t,t
admin,framework.read,framework,t,t
admin,gap.evaluate,gap,t,t
admin,gap.manage,gap,t,t
admin,gap.read,gap,t,t
admin,gap.transition,gap,t,t
admin,grc.escalation.manage,workflow,t,t
admin,grc.export.generate,audit,t,t
admin,grc.phase2.export,reporting,t,t
admin,grc.scheduler.run,workflow,t,t
admin,health.refresh,health,t,t
admin,health.view,health,t,t
admin,incidents.close,incidents,t,t
admin,incidents.command,incidents,t,t
admin,incidents.manage,incidents,t,t
admin,incidents.notifications.manage,incidents,t,t
admin,incidents.read,incidents,t,t
admin,loss_events.approve,loss,t,t
admin,loss_events.manage,loss,t,t
admin,loss_events.read,loss,t,t
admin,metrics.approve,metrics,t,t
admin,metrics.manage,metrics,t,t
admin,metrics.measure,metrics,t,t
admin,metrics.publish,metrics,t,t
admin,metrics.read,metrics,t,t
admin,metrics.recalculate,metrics,t,t
admin,metrics.record,metrics,t,t
admin,metrics.validate,metrics,t,t
admin,modules.view,modules,t,t
admin,nonconformities.manage,nonconformities,t,t
admin,nonconformities.view,nonconformities,t,t
admin,operations.360.read,operations,t,t
admin,operations.dashboard.read,operations,t,t
admin,operations.import,operations,t,t
admin,organizations.manage,operations,t,t
admin,organizations.read,operations,t,t
admin,privacy.approve,privacy,t,t
admin,privacy.breaches.manage,privacy,t,t
admin,privacy.dpia.manage,privacy,t,t
admin,privacy.manage,privacy,t,t
admin,privacy.read,privacy,t,t
admin,privacy.requests.manage,privacy,t,t
admin,processes.approve,operations,t,t
admin,processes.manage,operations,t,t
admin,processes.read,operations,t,t
admin,quantitative_risk.approve,risk,t,t
admin,quantitative_risk.manage,risk,t,t
admin,quantitative_risk.read,risk,t,t
admin,readiness.generate,readiness,t,t
admin,readiness.read,readiness,t,t
admin,reports.approve,reports,t,t
admin,reports.download,reports,t,t
admin,reports.export,reports,t,t
admin,reports.generate,reports,t,t
admin,reports.manage,reports,t,t
admin,reports.read,reports,t,t
admin,reports.schedule,reports,t,t
admin,reports.view,reports,t,t
admin,risk.manage,grc,t,t
admin,risk_matrix.manage,risk_matrix,t,t
admin,risk_matrix.view,risk_matrix,t,t
admin,semantic.contracts.manage,semantic,t,t
admin,semantic.contracts.publish,semantic,t,t
admin,semantic.contracts.read,semantic,t,t
admin,semantic.contracts.review,semantic,t,t
admin,semantic.lineage.read,semantic,t,t
admin,semantic.mappings.manage,semantic,t,t
admin,semantic.mappings.read,semantic,t,t
admin,semantic.mappings.validate,semantic,t,t
admin,semantic.observations.ingest,semantic,t,t
admin,semantic.observations.read,semantic,t,t
admin,semantic.sufficiency.manage,semantic,t,t
admin,semantic.sufficiency.publish,semantic,t,t
admin,semantic.sufficiency.read,semantic,t,t
admin,services.manage,operations,t,t
admin,services.read,operations,t,t
admin,standards.view,standards,t,t
admin,suppliers.approve,suppliers,t,t
admin,suppliers.assess,suppliers,t,t
admin,suppliers.manage,suppliers,t,t
admin,suppliers.portal.manage,suppliers,t,t
admin,suppliers.read,suppliers,t,t
admin,surveys.approve,surveys,t,t
admin,surveys.evaluate,surveys,t,t
admin,surveys.manage,surveys,t,t
admin,surveys.publish,surveys,t,t
admin,surveys.read,surveys,t,t
admin,surveys.respond,surveys,t,t
admin,tenant.manage,tenant,t,t
admin,users.manage,users,t,t
admin,users.view,users,t,t
admin,workflow.manage,workflow,t,t
admin,workflow.read,workflow,t,t
admin,workflow.transition,workflow,t,t
area_owner,actions.manage,actions,t,t
area_owner,actions.view,actions,t,t
area_owner,controls.view,controls,t,t
area_owner,evidence.request.read,evidence,t,t
area_owner,evidences.upload,evidences,t,t
area_owner,evidences.view,evidences,t,t
area_owner,health.view,health,t,t
area_owner,reports.view,reports,t,t
area_owner,risk_matrix.view,risk_matrix,t,t
area_owner,workflow.read,workflow,t,t
area_owner,workflow.transition,workflow,t,t
auditor,actions.approve,actions,t,t
auditor,actions.view,actions,t,t
auditor,assurance_tests.execute,assurance,t,t
