tenant_id,tenant_name,plan_key,normalized_plan,status,started_at,ended_at,version,metadata
e679a958-f2c6-4611-9880-1002124f2861,Cliente Demo Admin SaaS OK,demo,ISO,cancelled,2026-07-29 16:02:36.251471+00,,1,"{""source"": ""admin_saas_frontend"", ""feature"": ""tenant_contract"", ""created_by"": ""fe817e07-3a80-4fa9-8175-05be003b140a"", ""updated_by"": ""fe817e07-3a80-4fa9-8175-05be003b140a"", ""updated_from"": ""admin_saas"", ""legacy_plan_key"": ""demo""}"
284dea3d-7f2c-411c-831c-1e8301608e91,Credex test,pyme,ISO,cancelled,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00,1,"{""source"": ""admin_saas_frontend"", ""feature"": ""tenant_contract"", ""quote_id"": ""8a7b3039-bc25-4db7-9ee9-0ae5f8a5361a"", ""updated_by"": ""fe817e07-3a80-4fa9-8175-05be003b140a"", ""converted_by"": ""fe817e07-3a80-4fa9-8175-05be003b140a"", ""quote_number"": ""COT-202604-C2RUU0"", ""updated_from"": ""admin_saas"", ""legacy_plan_key"": ""pyme"", ""total_monthly_amount"": ""79700.00"", ""external_lookup_quota"": 25, ""premium_modules_count"": 1, ""active_standards_count"": 2}"
df9add48-3404-4a51-aaa9-6beb68775f8f,Demo 3,demo,ISO,cancelled,2026-07-29 16:02:36.251471+00,,1,"{""source"": ""admin_saas_frontend"", ""feature"": ""tenant_contract"", ""created_by"": ""fe817e07-3a80-4fa9-8175-05be003b140a"", ""updated_by"": ""fe817e07-3a80-4fa9-8175-05be003b140a"", ""updated_from"": ""admin_saas"", ""legacy_plan_key"": ""demo""}"
76c44a0e-6041-8bda-99c7-b740fccea001,Demo Tecdex,enterprise,GRC,active,2026-08-03 19:59:18.231419+00,,1,"{""change_preview"": {""tenant_id"": ""76c44a0e-6041-8bda-99c7-b740fccea001"", ""effective_at"": ""2026-08-03T19:59:18.225Z"", ""target_limits"": {""active_users"": {""limit"": 25, ""enforcement"": ""block""}, ""storage_bytes"": {""limit"": 10737418240, ""enforcement"": ""block""}, ""evidence_files"": {""limit"": 5000, ""enforcement"": ""block""}, ""exports_monthly"": {""limit"": 50, ""enforcement"": ""block""}, ""imports_monthly"": {""limit"": 25, ""enforcement"": ""block""}, ""premium_modules"": {""limit"": 6, ""enforcement"": ""block""}, ""active_standards"": {""limit"": 3, ""enforcement"": ""block""}, ""api_calls_monthly"": {""limit"": 25000, ""enforcement"": ""block""}, ""scheduled_reports"": {""limit"": 20, ""enforcement"": ""block""}, ""semantic_mappings"": {""limit"": 1000, ""enforcement"": ""block""}, ""metric_definitions"": {""limit"": 100, ""enforcement"": ""block""}, ""semantic_contracts"": {""limit"": 100, ""enforcement"": ""block""}, ""ai_requests_monthly"": {""limit"": 500, ""enforcement"": ""block""}, ""report_storage_bytes"": {""limit"": 10737418240, ""enforcement"": ""block""}, ""dashboard_definitions"": {""limit"": 25, ""enforcement"": ""block""}, ""external_lookups_monthly"": {""limit"": 250, ""enforcement"": ""block""}, ""survey_campaigns_monthly"": {""limit"": 20, ""enforcement"": ""block""}, ""survey_responses_monthly"": {""limit"": 2000, ""enforcement"": ""block""}, ""report_generations_monthly"": {""limit"": 100, ""enforcement"": ""block""}, ""metric_measurements_monthly"": {""limit"": 5000, ""enforcement"": ""block""}, ""semantic_observations_monthly"": {""limit"": 100000, ""enforcement"": ""block""}}, ""previous_limits"": {""active_users"": {""limit"": 25, ""usage"": 0, ""exhausted"": false, ""remaining"": 25, ""enforcement"": ""block"", ""resource_key"": ""active_users"", ""warning_threshold"": 0.8}, ""storage_bytes"": {""limit"": 21474836480, ""usage"": 0, ""exhausted"": false, ""remaining"": 21474836480, ""enforcement"": ""warn"", ""resource_key"": ""storage_bytes"", ""warning_threshold"": 0.8}, ""evidence_files"": {""limit"": 5000, ""usage"": 0, ""exhausted"": false, ""remaining"": 5000, ""enforcement"": ""warn"", ""resource_key"": ""evidence_files"", ""warning_threshold"": 0.8}, ""exports_monthly"": {""limit"": 500, ""usage"": 0, ""exhausted"": false, ""remaining"": 500, ""enforcement"": ""warn"", ""resource_key"": ""exports_monthly"", ""warning_threshold"": 0.8}, ""active_standards"": {""limit"": 5, ""usage"": 0, ""exhausted"": false, ""remaining"": 5, ""enforcement"": ""block"", ""resource_key"": ""active_standards"", ""warning_threshold"": 0.8}, ""api_calls_monthly"": {""limit"": 250000, ""usage"": 0, ""exhausted"": false, ""remaining"": 250000, ""enforcement"": ""warn"", ""resource_key"": ""api_calls_monthly"", ""warning_threshold"": 0.8}, ""scheduled_reports"": {""limit"": 50, ""usage"": 0, ""exhausted"": false, ""remaining"": 50, ""enforcement"": ""block"", ""resource_key"": ""scheduled_reports"", ""warning_threshold"": 0.8}, ""semantic_mappings"": {""limit"": 1000, ""usage"": 0, ""exhausted"": false, ""remaining"": 1000, ""enforcement"": ""block"", ""resource_key"": ""semantic_mappings"", ""warning_threshold"": 0.8}, ""metric_definitions"": {""limit"": 250, ""usage"": 0, ""exhausted"": false, ""remaining"": 250, ""enforcement"": ""block"", ""resource_key"": ""metric_definitions"", ""warning_threshold"": 0.8}, ""semantic_contracts"": {""limit"": 50, ""usage"": 0, ""exhausted"": false, ""remaining"": 50, ""enforcement"": ""block"", ""resource_key"": ""semantic_contracts"", ""warning_threshold"": 0.8}, ""dashboard_definitions"": {""limit"": 100, ""usage"": 0, ""exhausted"": false, ""remaining"": 100, ""enforcement"": ""block"", ""resource_key"": ""dashboard_definitions"", ""warning_threshold"": 0.8}, ""report_generations_monthly"": {""limit"": 1000, ""usage"": 0, ""exhausted"": false, ""remaining"": 1000, ""enforcement"": ""warn"", ""resource_key"": ""report_generations_monthly"", ""warning_threshold"": 0.8}, ""metric_measurements_monthly"": {""limit"": 25000, ""usage"": 0, ""exhausted"": false, ""remaining"": 25000, ""enforcement"": ""warn"", ""resource_key"": ""metric_measurements_monthly"", ""warning_threshold"": 0.8}, ""semantic_observations_monthly"": {""limit"": 50000, ""usage"": 0, ""exhausted"": false, ""remaining"": 50000, ""enforcement"": ""warn"", ""resource_key"": ""semantic_observations_monthly"", ""warning_threshold"": 0.8}}, ""target_plan_key"": ""enterprise"", ""affected_modules"": [""ai_compliance"", ""assurance_loss"", ""metrics_bi"", ""metrics_bi"", ""core"", ""core"", ""data_governance"", ""data_governance"", ""data_governance"", ""data_governance"", ""grc_core"", ""integrated_grc"", ""operations_grc"", ""operations_grc"", ""assurance_loss"", ""risk_manager"", ""metrics_bi"", ""data_governance"", ""metrics_bi"", ""report_studio"", ""report_studio"", ""report_studio"", ""report_studio"", ""report_studio"", ""premium_reports"", ""risk_manager"", ""surveys_assessments"", ""integrated_grc"", ""audit_workpapers""], ""current_plan_key"": ""enterprise"", ""post_change_mode"": ""active"", ""required_actions"": [], ""lost_capabilities"": [], ""exceeded_resources"": [], ""gained_capabilities"": []}}"
76c44a0e-6041-8bda-99c7-b740fccea001,Demo Tecdex,enterprise,GRC,replaced,2025-09-03 19:53:16.440717+00,2026-08-03 19:59:18.231419+00,1,"{""source"": ""demo_tenant_iso_grc"", ""commercial_type"": ""demo"", ""entitlement_basis"": ""published_enterprise_plan_plus_demo_semantic_override""}"
444cb18c-831a-4964-b7d9-c1d302f73fc6,Empresa Demo,legacy,ISO,active,2026-04-22 00:00:00+00,2026-07-21 00:00:00+00,1,"{""source"": ""tenant_contracts_compatibility"", ""environment"": ""demo"", ""seed_version"": ""demo_seed_v1"", ""standard_scope"": [""ISO27001""], ""legacy_plan_key"": ""demo_iso27001"", ""commercial_ready"": true}"
70000000-0000-0000-0000-000000000701,Empresa Demo TCDX Compliance,enterprise,GRC,active,2026-07-29 16:44:23.387149+00,,1,"{""change_preview"": {""tenant_id"": ""70000000-0000-0000-0000-000000000701"", ""effective_at"": ""2026-07-29T16:44:23.387Z"", ""target_limits"": {""active_users"": {""limit"": 25, ""enforcement"": ""block""}, ""storage_bytes"": {""limit"": 10737418240, ""enforcement"": ""block""}, ""evidence_files"": {""limit"": 5000, ""enforcement"": ""block""}, ""exports_monthly"": {""limit"": 50, ""enforcement"": ""block""}, ""imports_monthly"": {""limit"": 25, ""enforcement"": ""block""}, ""premium_modules"": {""limit"": 6, ""enforcement"": ""block""}, ""active_standards"": {""limit"": 3, ""enforcement"": ""block""}, ""api_calls_monthly"": {""limit"": 25000, ""enforcement"": ""block""}, ""ai_requests_monthly"": {""limit"": 500, ""enforcement"": ""block""}, ""external_lookups_monthly"": {""limit"": 250, ""enforcement"": ""block""}}, ""previous_limits"": {""active_users"": {""limit"": 25, ""usage"": 0, ""exhausted"": false, ""remaining"": 25, ""enforcement"": ""block"", ""resource_key"": ""active_users"", ""warning_threshold"": 0.8}, ""storage_bytes"": {""limit"": 10737418240, ""usage"": 0, ""exhausted"": false, ""remaining"": 10737418240, ""enforcement"": ""warn"", ""resource_key"": ""storage_bytes"", ""warning_threshold"": 0.8}, ""evidence_files"": {""limit"": 5000, ""usage"": 0, ""exhausted"": false, ""remaining"": 5000, ""enforcement"": ""warn"", ""resource_key"": ""evidence_files"", ""warning_threshold"": 0.8}, ""exports_monthly"": {""limit"": 50, ""usage"": 0, ""exhausted"": false, ""remaining"": 50, ""enforcement"": ""block"", ""resource_key"": ""exports_monthly"", ""warning_threshold"": 0.8}, ""imports_monthly"": {""limit"": 25, ""usage"": 0, ""exhausted"": false, ""remaining"": 25, ""enforcement"": ""block"", ""resource_key"": ""imports_monthly"", ""warning_threshold"": 0.8}, ""premium_modules"": {""limit"": 6, ""usage"": 0, ""exhausted"": false, ""remaining"": 6, ""enforcement"": ""block"", ""resource_key"": ""premium_modules"", ""warning_threshold"": 0.8}, ""active_standards"": {""limit"": 3, ""usage"": 0, ""exhausted"": false, ""remaining"": 3, ""enforcement"": ""block"", ""resource_key"": ""active_standards"", ""warning_threshold"": 0.8}, ""api_calls_monthly"": {""limit"": 25000, ""usage"": 0, ""exhausted"": false, ""remaining"": 25000, ""enforcement"": ""warn"", ""resource_key"": ""api_calls_monthly"", ""warning_threshold"": 0.8}, ""ai_requests_monthly"": {""limit"": 500, ""usage"": 0, ""exhausted"": false, ""remaining"": 500, ""enforcement"": ""block"", ""resource_key"": ""ai_requests_monthly"", ""warning_threshold"": 0.8}, ""external_lookups_monthly"": {""limit"": 250, ""usage"": 0, ""exhausted"": false, ""remaining"": 250, ""enforcement"": ""block"", ""resource_key"": ""external_lookups_monthly"", ""warning_threshold"": 0.8}}, ""target_plan_key"": ""enterprise"", ""affected_modules"": [""ai_compliance"", ""core"", ""core"", ""grc_core"", ""integrated_grc"", ""operations_grc"", ""operations_grc"", ""risk_manager"", ""premium_reports"", ""risk_manager"", ""integrated_grc"", ""audit_workpapers""], ""current_plan_key"": ""legacy"", ""post_change_mode"": ""active"", ""required_actions"": [], ""lost_capabilities"": [], ""exceeded_resources"": [], ""gained_capabilities"": []}}"
70000000-0000-0000-0000-000000000701,Empresa Demo TCDX Compliance,legacy,ISO,replaced,2026-07-29 16:44:10.609938+00,2026-07-29 16:44:23.387149+00,1,"{""change_preview"": {""tenant_id"": ""70000000-0000-0000-0000-000000000701"", ""effective_at"": ""2026-07-29T16:44:10.610Z"", ""target_limits"": {""active_users"": {""limit"": 25, ""enforcement"": ""block""}, ""storage_bytes"": {""limit"": 10737418240, ""enforcement"": ""block""}, ""evidence_files"": {""limit"": 5000, ""enforcement"": ""block""}, ""exports_monthly"": {""limit"": 50, ""enforcement"": ""block""}, ""imports_monthly"": {""limit"": 25, ""enforcement"": ""block""}, ""premium_modules"": {""limit"": 6, ""enforcement"": ""block""}, ""active_standards"": {""limit"": 3, ""enforcement"": ""block""}, ""api_calls_monthly"": {""limit"": 25000, ""enforcement"": ""block""}, ""ai_requests_monthly"": {""limit"": 500, ""enforcement"": ""block""}, ""external_lookups_monthly"": {""limit"": 250, ""enforcement"": ""block""}}, ""previous_limits"": {""active_users"": {""limit"": 25, ""usage"": 0, ""exhausted"": false, ""remaining"": 25, ""enforcement"": ""block"", ""resource_key"": ""active_users"", ""warning_threshold"": 0.8}, ""storage_bytes"": {""limit"": 10737418240, ""usage"": 0, ""exhausted"": false, ""remaining"": 10737418240, ""enforcement"": ""warn"", ""resource_key"": ""storage_bytes"", ""warning_threshold"": 0.8}, ""evidence_files"": {""limit"": 5000, ""usage"": 0, ""exhausted"": false, ""remaining"": 5000, ""enforcement"": ""warn"", ""resource_key"": ""evidence_files"", ""warning_threshold"": 0.8}, ""exports_monthly"": {""limit"": 50, ""usage"": 0, ""exhausted"": false, ""remaining"": 50, ""enforcement"": ""block"", ""resource_key"": ""exports_monthly"", ""warning_threshold"": 0.8}, ""imports_monthly"": {""limit"": 25, ""usage"": 0, ""exhausted"": false, ""remaining"": 25, ""enforcement"": ""block"", ""resource_key"": ""imports_monthly"", ""warning_threshold"": 0.8}, ""premium_modules"": {""limit"": 6, ""usage"": 0, ""exhausted"": false, ""remaining"": 6, ""enforcement"": ""block"", ""resource_key"": ""premium_modules"", ""warning_threshold"": 0.8}, ""active_standards"": {""limit"": 3, ""usage"": 0, ""exhausted"": false, ""remaining"": 3, ""enforcement"": ""block"", ""resource_key"": ""active_standards"", ""warning_threshold"": 0.8}, ""api_calls_monthly"": {""limit"": 25000, ""usage"": 0, ""exhausted"": false, ""remaining"": 25000, ""enforcement"": ""warn"", ""resource_key"": ""api_calls_monthly"", ""warning_threshold"": 0.8}, ""ai_requests_monthly"": {""limit"": 500, ""usage"": 0, ""exhausted"": false, ""remaining"": 500, ""enforcement"": ""block"", ""resource_key"": ""ai_requests_monthly"", ""warning_threshold"": 0.8}, ""external_lookups_monthly"": {""limit"": 250, ""usage"": 0, ""exhausted"": false, ""remaining"": 250, ""enforcement"": ""block"", ""resource_key"": ""external_lookups_monthly"", ""warning_threshold"": 0.8}}, ""target_plan_key"": ""legacy"", ""affected_modules"": [""ai_compliance"", ""core"", ""core"", ""grc_core"", ""integrated_grc"", ""operations_grc"", ""operations_grc"", ""risk_manager"", ""premium_reports"", ""risk_manager"", ""integrated_grc"", ""audit_workpapers""], ""current_plan_key"": ""empresa"", ""post_change_mode"": ""active"", ""required_actions"": [], ""lost_capabilities"": [], ""exceeded_resources"": [], ""gained_capabilities"": [""ai.compliance"", ""workpapers.audit""]}}"
70000000-0000-0000-0000-000000000701,Empresa Demo TCDX Compliance,empresa,ISO_RIESGO_OPERATIVO,replaced,2026-07-29 16:42:45.939849+00,2026-07-29 16:44:10.609938+00,1,"{""change_preview"": {""tenant_id"": ""70000000-0000-0000-0000-000000000701"", ""effective_at"": ""2026-07-29T16:42:45.940Z"", ""target_limits"": {""active_users"": {""limit"": 25, ""enforcement"": ""block""}, ""storage_bytes"": {""limit"": 10737418240, ""enforcement"": ""block""}, ""evidence_files"": {""limit"": 5000, ""enforcement"": ""block""}, ""exports_monthly"": {""limit"": 50, ""enforcement"": ""block""}, ""imports_monthly"": {""limit"": 25, ""enforcement"": ""block""}, ""premium_modules"": {""limit"": 6, ""enforcement"": ""block""}, ""active_standards"": {""limit"": 3, ""enforcement"": ""block""}, ""api_calls_monthly"": {""limit"": 25000, ""enforcement"": ""block""}, ""ai_requests_monthly"": {""limit"": 500, ""enforcement"": ""block""}, ""external_lookups_monthly"": {""limit"": 250, ""enforcement"": ""block""}}, ""previous_limits"": {""active_users"": {""limit"": 25, ""usage"": 0, ""exhausted"": false, ""remaining"": 25, ""enforcement"": ""block"", ""resource_key"": ""active_users"", ""warning_threshold"": 0.8}, ""storage_bytes"": {""limit"": 10737418240, ""usage"": 0, ""exhausted"": false, ""remaining"": 10737418240, ""enforcement"": ""warn"", ""resource_key"": ""storage_bytes"", ""warning_threshold"": 0.8}, ""evidence_files"": {""limit"": 5000, ""usage"": 0, ""exhausted"": false, ""remaining"": 5000, ""enforcement"": ""warn"", ""resource_key"": ""evidence_files"", ""warning_threshold"": 0.8}, ""exports_monthly"": {""limit"": 50, ""usage"": 0, ""exhausted"": false, ""remaining"": 50, ""enforcement"": ""block"", ""resource_key"": ""exports_monthly"", ""warning_threshold"": 0.8}, ""imports_monthly"": {""limit"": 25, ""usage"": 0, ""exhausted"": false, ""remaining"": 25, ""enforcement"": ""block"", ""resource_key"": ""imports_monthly"", ""warning_threshold"": 0.8}, ""premium_modules"": {""limit"": 6, ""usage"": 0, ""exhausted"": false, ""remaining"": 6, ""enforcement"": ""block"", ""resource_key"": ""premium_modules"", ""warning_threshold"": 0.8}, ""active_standards"": {""limit"": 3, ""usage"": 0, ""exhausted"": false, ""remaining"": 3, ""enforcement"": ""block"", ""resource_key"": ""active_standards"", ""warning_threshold"": 0.8}, ""api_calls_monthly"": {""limit"": 25000, ""usage"": 0, ""exhausted"": false, ""remaining"": 25000, ""enforcement"": ""warn"", ""resource_key"": ""api_calls_monthly"", ""warning_threshold"": 0.8}, ""ai_requests_monthly"": {""limit"": 500, ""usage"": 0, ""exhausted"": false, ""remaining"": 500, ""enforcement"": ""block"", ""resource_key"": ""ai_requests_monthly"", ""warning_threshold"": 0.8}, ""external_lookups_monthly"": {""limit"": 250, ""usage"": 0, ""exhausted"": false, ""remaining"": 250, ""enforcement"": ""block"", ""resource_key"": ""external_lookups_monthly"", ""warning_threshold"": 0.8}}, ""target_plan_key"": ""empresa"", ""affected_modules"": [""core"", ""core"", ""grc_core"", ""integrated_grc"", ""operations_grc"", ""operations_grc"", ""risk_manager"", ""premium_reports"", ""risk_manager"", ""integrated_grc""], ""current_plan_key"": ""pyme"", ""post_change_mode"": ""active"", ""required_actions"": [], ""lost_capabilities"": [], ""exceeded_resources"": [], ""gained_capabilities"": [""grc.phase2"", ""reports.premium"", ""tprm.suppliers""]}}"
70000000-0000-0000-0000-000000000701,Empresa Demo TCDX Compliance,pyme,ISO,replaced,2026-07-29 16:02:36.251471+00,2026-07-29 16:42:45.939849+00,1,"{""source"": ""admin_saas_frontend"", ""feature"": ""tenant_contract"", ""created_by"": ""fe817e07-3a80-4fa9-8175-05be003b140a"", ""updated_by"": ""fe817e07-3a80-4fa9-8175-05be003b140a"", ""updated_from"": ""admin_saas"", ""legacy_plan_key"": ""pyme""}"
