tenant_id,capability_key,module_key,required_permission,enabled,read_only,source,effective_from,effective_until
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,bi.dashboard_builder,metrics_bi,dashboards.read,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,bi.executive_dashboards,metrics_bi,dashboards.read,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,core.dashboard,core,commercial.entitlement.read,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,core.reports,core,commercial.entitlement.read,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,grc.phase1,grc_core,commercial.entitlement.read,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,grc.phase3,operations_grc,commercial.entitlement.read,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,imports.excel,operations_grc,operations.import,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,methodology.risk,risk_manager,commercial.entitlement.read,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,metrics.actions.propose,metrics_bi,metrics.measure,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,metrics.actions.review,metrics_bi,metrics.validate,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,metrics.catalog,metrics_bi,metrics.read,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
3e88abb4-b346-4ba5-9b6e-aa58c3d84606,metrics.comparisons.read,metrics_bi,metrics.read,t,f,plan,2026-05-01 00:00:00+00,2027-05-01 00:00:00+00
